"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,1.7,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2010","2010",,,"0","Units",,,14805,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,135.6,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2011","2011",,,"0","Units",,,213,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,1.9,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2011","2011",,,"0","Units",,,14825,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,134.2,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2012","2012",,,"0","Units",,,206,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,1.9,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2012","2012",,,"0","Units",,,13487,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,121.2,,
"1","Country","BEL","Belgium","HOMIC","Intentional Homicides (number)","ALL","All regions","2013","2013",,,"0","Units",,,199,,
"1","Country","BEL","Belgium","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,1.8,,
"1","Country","BEL","Belgium","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2013","2013",,,"0","Units",,,12557,,
"1","Country","BEL","Belgium","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2013","2013",,,"0","Units",,,112.4,,
